names,Politicians,Gender
Margaret Mitchell,Robert Pittenger,Male
Rhett Butler,Larry Bacow,Male
John Ridley,Rafael Reif,Male
Hbo Max,Saddam Hussein,Male
Hattie Mcdaniel,Stephane Dujarric,Male
Jacqueline Stewart,Omar Abdullah,Male
Cnn Ope,Rakesh Sinha,Male
Armond White,Anthony Kennedy,Male
Nancy Eshelman,Merrick Garland,Male
Ward Bukofsky,Raymond Kethledge,Male
Victorio Palangdan,Sarah Weddington,Female
Nueva Ecija,John Roberts,Male
Francis Tolentino,Jon Kyl,Male
Rodrigo Duterte,Joe Donnelly,Male
Typhoonmangkhut Sian,Heidi Heitkamp,Female
Iloco Norte,Elena Kagan,Female
Juan Carlo,Gotabaya Rajapaksa,Male
Jerome Balinton,Ranil Wickremesinghe,Male
Parveena Ahangar,Sajith Premadasa,Male
Michael Steiner,Ali Khamenei,Male
Zubin Mehta,Javad Zarif,Male
Mirza Wahee,Steven Mnuchin,Male
Peter Tchir,Hassan Rouhani,Male
Ian Shepherdson,Loretta Lynch,Female
Lucy Flore,Larry Hogan,Male
Amy Lappos,John Boehner,Male
Wendy Schiller,Frederick Douglass,Male
Coby Owens,Adelbert Ames,Male
John Hickenlooper,Jefferson Davis,Male
Susan Rice,Gavin Newsom,Male
Meghan Mccain,Joe Crowley,Male
Larry Jacobs,Ed Markey,Male
Harold Schaitberg,Trent Lott,Male
Hafiz Muhammad,Jerry Nadler,Male
Imran Gill,Ro Khanna,Male
Abdur Rauf,Jonathan Karl,Male
Zafar Iqbal,Mike Flynn,Male
Jamaatuddawa Jud,Jon Ossoff,Male
Zakiurrehman Lakhvi,Jim Lykam,Male
Asad Hashim,Anne Neu,Female
Liam Andrew,Olof Palme,Male
Bill Thompson,James Clapper,Male
Vince Kenyon,Karen Bradley,Female
John Mccain,Ed Miliband,Male
Randy Mcbee,Ben Carson,Male
Rita Farhat,Joe Arpaio,Male
Nait Jones,Kofi Annan,Male
Andreessen Horowitz,Tony Blair,Male
Coceo Trina,Nelson Mandela,Male
Taylor Lorenz,Andrew Yang,Male
Steph Korey,Tom Corbett,Male
Balaji Srinivasan,Kathleen Kane,Female
Paul Graham,John Podesta,Male
Eron Gjoni,Mohan Bhagwat,Male
Zoe Quinn,Jahana Hayes,Female
Brianna Wu,Eliot Engel,Male
Kleiner Perkin,Juan Vargas,Male
Caufield Byer,Jill Jacobs,Female
Highflye Bloodteste,Jon Tester,Male
Elizabeth Holme,Alexander Hamilton,Male
Alex Taub,Thomas Jefferson,Male
Scott Alexander,Hank Paulson,Male
Puiwe Tam,David Duke,Male
Gideon Lewiskraus,Zbigniew Brzezinski,Male
Ekene Okonkwo,Frederica Wilson,Female
Rashida Tlaib,John Kasich,Male
Gary Johnson,Shinzo Abe,Male
Jill Stein,Letitia James,Female
Rashawn Ray,Douglas Macarthur,Male
Martha Baez,Samuel Alito,Male
Jessica Wright,Stephen Breyer,Male
Stephen Ansolabehere,Justin Amash,Male
Michael Dukakis,Sam Brownback,Male
Jesse Jackson,Sergey Kislyak,Male
Republicanbacke Law,Steven Pifer,Male
Habiba Choudhary,Anatoly Dobrynin,Male
Hotandbothered Trump,Bob Mueller,Male
Sasha Abramsky,Matt Whitaker,Male
Mohammad Shahab,Edgar Hoover,Male
Dehghani Hossein,Lyndon Johnson,Male
James Mitchellone,Nicholas Katzenbach,Male
Piyush Goyal,Sergey Lavrov,Male
Madhya Pradesh,Noel Francisco,Male
Rahul Gandhi,Preet Bharara,Male
Joe Conicelli,Scott Pruitt,Male
James Comey,Saket Gokhale,Male
Sandy Emrich,Amit Shah,Male
Jeffrey Manzi,Palaniappan Chidambaram,Male
John Picard,Vicente Fox,Male
Joan Hallett,Margarita Zavala,Female
Anthony Defranco,Michael Dubke,Male
Russell Frantz,Greg Gianforte,Male
Sam Richie,Jim Mattis,Male
Gene Delong,Steve Mnuchin,Male
Ken Starr,David Cameron,Male
Eric Garner,Liam Fox,Male
Michael Brown,Priti Patel,Female
George Floyd,Dominic Raab,Male
Ahmaud Arbery,Stephen Crabb,Male
Breonna Taylor,Nicky Morgan,Female
Ky Tony,George Osborne,Male
Michelle Goldberg,Mark Carney,Male
Mitch Albom,Cheryl Gillan,Female
Ronald Reagan,Brandon Lewis,Male
Mikhail Gorbachev,Alan Duncan,Male
Sergei Shoigu,Anne Milton,Female
Mullah Baradar,Philip Hammond,Male
Morgan Ortagus,David Gauke,Male
Al Udeid,Kim Darroch,Male
Abdullah Abdullah,Matt Hancock,Male
Omid Maisam,Matthew Whitaker,Male
Max Sawicky,Archibald Cox,Male
Eric Ciaramella,Abdulla Shahid,Male
Adam Schiff,Ishwar Pokhrel,Male
Jodi Dean,Sali Berisha,Male
Ralph Waldo,Robert Zoellick,Male
Peter Yared,Ayanna Pressley,Female
Hayley Tsukayama,Kay Ivey,Female
Shepard Smith,Robert Reich,Male
Riotwomenn Riotwomennn,Deborah Birx,Female
Xinjiangrelate Law,Andy Slavitt,Male
Matt Pottinger,Tom Frieden,Male
Chen Quanguo,Kate Gallego,Female
Saud Alqahtani,Asa Hutchinson,Male
Ahmed Asiri,Alex Azar,Male
Prince Mohammed,John Sandweg,Male
Bin Salman,Sylvester Turner,Male
Mohamed Vall,Hilary Benn,Male
Gina Haspel,Guto Bebb,Male
Lindsey Graham,Greg Clark,Male
Michelle Bachelet,Kenneth Clarke,Male
Mevlut Cavusoglu,Dominic Grieve,Male
Rupert Murdoch,Margot James,Female
David Folkenflik,Oliver Letwin,Male
